Date,mun_geocod,mun_nome,mun_lat,mun_lon,mun_uf_nome,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms
3/9/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,71.625,NA,10.425,519.6,0.45,2,26.425,87.5,116.75,4.1
3/10/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,75.525,NA,10.525,557,0.45,3,26.95,83.75,115.75,4.3
3/11/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,74.35,NA,10.65,136.925,0.425,1,27.475,78.25,122.5,4.575
3/12/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,66.05,NA,11,121,0.425,0,27.5,77.25,114,4.525
3/13/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,62.15,NA,11.1,298.95,0.425,0,27.5,78.75,88.25,3.775
3/14/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,67.275,NA,11.05,565.425,0.4,4,27.35,81,70.75,3.65
3/15/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,66.925,NA,10.9,474.7,0.325,0,27.625,78.25,101,4.775
3/16/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,65.975,NA,10.75,300.325,0.35,1,27.65,76.25,125.25,4.975
3/17/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,61.475,NA,10.725,257.15,0.375,0,27.8,72.75,128.25,4.525
3/18/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,63.95,NA,10.6,322.775,0.4,0,27.15,78.75,107.75,4.275
3/19/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,65.8,NA,10.775,171.85,0.4,0,27.35,79.5,94.75,3.775
3/20/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,64.35,NA,10.875,38.9,0.375,1,27.65,75.25,122.5,4.775
3/21/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,55.225,NA,11.175,17.5,0.325,0,27.55,75.5,130,5.925
3/22/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,57.625,NA,11.45,31.775,0.375,0,27.175,75.5,129.75,4.175
3/23/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,56.9,NA,11.175,32.575,0.4,0,27.4,76.25,123.75,4.95
3/24/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,54,NA,10.925,13.9,0.425,6,27.45,77.25,124.25,4.8
3/25/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,55.375,NA,10.725,55.575,0.425,2,27.325,82.5,127.5,4.725
3/26/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,56.1,NA,10.7,86.7,0.35,0,27.4,80.5,125.25,3.975
3/27/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,60.3,NA,10.8,91.725,0.375,6,27.225,79.75,130,4.775
3/28/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,64.075,NA,11.075,80.725,0.45,11,26.075,89,137.75,4.525
3/29/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,68.575,NA,11.2,20.775,0.5,17,25.225,90,129.75,3.025
3/30/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,72.425,NA,11.65,89.925,0.4,3,24.7,90.75,136,2.825
3/31/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,80.175,NA,12.8,95.925,0.425,32,25,92,121.5,3.9
3/1/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,69.675,NA,10.575,9.9,0.5,7,26.425,88.75,118.25,3.75
3/2/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,71.775,NA,10.675,15.725,0.4,2,26.95,85.5,124.75,4.3
3/3/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,73.15,NA,11.025,45.125,0.35,0,27.225,82.5,122.75,4.1
3/4/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,72.825,NA,11.15,19.05,0.4,0,27.725,77,115,4.25
